BRAND,REGION,MONTH,FORECASTED_TRx,SEASONAL_COMPONENT,ADDITIVE_TREND,RESIDUAL,CONFIDENCE_INTERVAL_UPPER,CONFIDENCE_INTERVAL_LOWER,DATE
BETAVAX,Mid-Atlantic,24,,-885.2951388888897,8010.3784722222235,1.1368683772161603e-13,9153.907283565146,5096.259383101523,2024-08-01
BETAVAX,Mid-Atlantic,25,7125.083333333334,-241.1354166666658,8122.218750000002,-2.0747847884194925e-12,9909.907283565146,5852.259383101523,2024-09-01
BETAVAX,Mid-Atlantic,26,7881.083333333334,-375.97569444444315,8234.05902777778,-2.1032064978498966e-12,9886.907283565146,5829.259383101523,2024-10-01
BETAVAX,Mid-Atlantic,27,7858.083333333334,-956.8159722222215,8345.899305555558,-2.9558577807620168e-12,9417.907283565146,5360.259383101523,2024-11-01
BETAVAX,Mid-Atlantic,28,7389.083333333334,-732.6562499999989,8457.739583333336,-2.9558577807620168e-12,9753.907283565146,5696.259383101523,2024-12-01
BETAVAX,Mid-Atlantic,29,7725.083333333334,113.5034722222229,8569.579861111113,-2.0889956431346945e-12,10711.907283565146,6654.259383101523,2025-01-01
BETAVAX,Mid-Atlantic,30,8683.083333333334,220.66319444444733,8681.420138888887,-2.5579538487363607e-13,10930.907283565146,6873.259383101523,2025-02-01
BETAVAX,Mid-Atlantic,31,8902.083333333334,783.8229166666654,8793.260416666666,2.5011104298755527e-12,11605.907283565146,7548.259383101523,2025-03-01
BETAVAX,Mid-Atlantic,32,9577.083333333334,-979.017361111112,8905.100694444443,2.5011104298755527e-12,9954.907283565146,5897.259383101523,2025-04-01
BETAVAX,Mid-Atlantic,33,7926.083333333334,1466.1423611111097,9016.940972222223,1.5916157281026244e-12,12511.907283565146,8454.259383101522,2025-05-01
BETAVAX,Mid-Atlantic,34,10483.083333333334,79.30208333333239,9128.78125,1.5489831639570184e-12,11236.907283565146,7179.259383101523,2025-06-01
BETAVAX,Mid-Atlantic,35,9208.083333333334,1507.4618055555532,9240.62152777778,1.5916157281026244e-12,12776.907283565146,8719.259383101522,2025-07-01
BETAVAX,Mid-Atlantic,36,10748.083333333334,-885.2951388888897,9352.461805555557,1.0231815394945443e-12,11336.357012751852,5597.976320581483,2025-08-01
BETAVAX,Mid-Atlantic,37,8467.166666666668,-241.1354166666658,9464.302083333334,-2.5579538487363607e-13,12092.357012751852,6353.976320581483,2025-09-01
BETAVAX,Mid-Atlantic,38,9223.166666666668,-375.97569444444315,9576.142361111111,-2.8421709430404007e-13,12069.357012751852,6330.976320581483,2025-10-01
BETAVAX,Mid-Atlantic,39,9200.166666666668,-956.8159722222215,9687.982638888889,6.821210263296962e-13,11600.357012751852,5861.976320581483,2025-11-01
BETAVAX,Mid-Atlantic,40,8731.166666666668,-732.6562499999989,9799.822916666666,6.821210263296962e-13,11936.357012751852,6197.976320581483,2025-12-01
BETAVAX,Mid-Atlantic,41,9067.166666666668,113.5034722222229,9911.663194444445,-2.7000623958883807e-13,12894.357012751852,7155.976320581483,2026-01-01
BETAVAX,Mid-Atlantic,42,10025.166666666668,220.66319444444733,10023.503472222223,-2.0747847884194925e-12,13113.357012751852,7374.976320581483,2026-02-01
BETAVAX,Mid-Atlantic,43,10244.166666666668,783.8229166666654,10135.343750000007,-4.774847184307873e-12,13788.357012751852,8049.976320581483,2026-03-01
BETAVAX,Mid-Atlantic,44,10919.166666666668,-979.017361111112,10247.184027777785,-4.774847184307873e-12,12137.357012751852,6398.976320581483,2026-04-01
BETAVAX,Mid-Atlantic,45,9268.166666666668,1466.1423611111097,10359.024305555562,-3.865352482534945e-12,14694.357012751852,8955.976320581483,2026-05-01
BETAVAX,Mid-Atlantic,46,11825.166666666668,79.30208333333239,10470.86458333334,-3.907985046680551e-12,13419.357012751852,7680.976320581483,2026-06-01
